SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22020,1610612747,LAL,Los Angeles Lakers,0022000897,2021-04-22,LAL @ DAL,,0,5,2,4,0.5,1,1,1.0,0,0,,0,0,0,0,1,0,0,0,1.2
22020,1610612747,LAL,Los Angeles Lakers,0022000875,2021-04-19,LAL vs. UTA,L,29,15,5,8,0.625,5,7,0.714,0,0,,0,0,0,0,1,0,0,0,-3.6
22020,1610612747,LAL,Los Angeles Lakers,0022000855,2021-04-17,LAL vs. UTA,W,41,25,8,18,0.444,5,12,0.417,4,4,1.0,0,5,5,2,2,1,0,2,2.6
22020,1610612747,LAL,Los Angeles Lakers,0022000842,2021-04-15,LAL vs. BOS,L,23,2,1,7,0.143,0,3,0.0,0,1,0.0,0,3,3,2,3,0,0,3,-0.6
22020,1610612747,LAL,Los Angeles Lakers,0022000825,2021-04-13,LAL @ CHA,W,34,9,3,7,0.429,1,5,0.2,2,2,1.0,0,3,3,2,0,2,0,1,2.4
22020,1610612747,LAL,Los Angeles Lakers,0022000815,2021-04-12,LAL @ NYK,L,28,12,5,10,0.5,2,4,0.5,0,0,,1,3,4,4,1,1,3,1,-1.2
22020,1610612747,LAL,Los Angeles Lakers,0022000800,2021-04-10,LAL @ BKN,W,32,14,5,10,0.5,4,6,0.667,0,0,,0,3,3,5,0,0,1,2,1.4
22020,1610612747,LAL,Los Angeles Lakers,0022000784,2021-04-08,LAL @ MIA,L,39,28,11,20,0.55,6,11,0.545,0,0,,1,3,4,1,0,1,1,3,1.0
22020,1610612747,LAL,Los Angeles Lakers,0022000772,2021-04-06,LAL @ TOR,W,26,13,4,5,0.8,2,2,1.0,3,3,1.0,0,3,3,3,0,0,0,1,-0.2
22020,1610612747,LAL,Los Angeles Lakers,0022000756,2021-04-04,LAL @ LAC,L,33,8,3,9,0.333,2,6,0.333,0,0,,1,2,3,1,3,0,3,2,-4.0
22020,1610612747,LAL,Los Angeles Lakers,0022000746,2021-04-02,LAL @ SAC,W,37,13,4,11,0.364,4,7,0.571,1,2,0.5,0,10,10,3,0,1,2,4,4.6
22020,1610612747,LAL,Los Angeles Lakers,0022000729,2021-03-31,LAL vs. MIL,L,22,2,0,4,0.0,0,1,0.0,2,3,0.667,1,2,3,1,0,0,2,2,-1.2
22020,1610612747,LAL,Los Angeles Lakers,0022000706,2021-03-28,LAL vs. ORL,W,30,4,1,4,0.25,0,3,0.0,2,3,0.667,2,1,3,3,1,1,0,3,-1.0
22020,1610612747,LAL,Los Angeles Lakers,0022000693,2021-03-26,LAL vs. CLE,W,28,7,2,8,0.25,1,5,0.2,2,2,1.0,0,2,2,0,1,0,3,2,0.8
22020,1610612747,LAL,Los Angeles Lakers,0022000681,2021-03-25,LAL vs. PHI,L,31,19,6,10,0.6,3,5,0.6,4,4,1.0,0,4,4,3,2,0,1,0,-0.2
22020,1610612747,LAL,Los Angeles Lakers,0022000663,2021-03-23,LAL @ NOP,L,22,3,1,7,0.143,1,3,0.333,0,0,,0,0,0,3,0,0,1,2,-2.2
22020,1610612747,LAL,Los Angeles Lakers,0022000651,2021-03-21,LAL @ PHX,L,30,7,2,7,0.286,1,4,0.25,2,2,1.0,1,0,1,1,0,0,1,1,-3.4
22020,1610612747,LAL,Los Angeles Lakers,0022000640,2021-03-20,LAL vs. ATL,L,21,0,0,5,0.0,0,0,,0,1,0.0,0,2,2,0,1,0,1,0,-3.6
22020,1610612747,LAL,Los Angeles Lakers,0022000630,2021-03-18,LAL vs. CHA,W,29,7,3,6,0.5,1,3,0.333,0,0,,0,2,2,0,1,1,0,2,-0.4
22020,1610612747,LAL,Los Angeles Lakers,0022000615,2021-03-16,LAL vs. MIN,W,27,8,2,5,0.4,2,4,0.5,2,2,1.0,0,3,3,5,0,0,1,1,0.8
22020,1610612747,LAL,Los Angeles Lakers,0022000608,2021-03-15,LAL @ GSW,W,21,14,5,8,0.625,3,4,0.75,1,1,1.0,0,4,4,1,1,1,0,0,1.8
22020,1610612747,LAL,Los Angeles Lakers,0022000585,2021-03-12,LAL vs. IND,W,28,7,2,6,0.333,0,2,0.0,3,3,1.0,1,4,5,1,1,0,1,1,-2.0
