SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42013,1610612748,MIA,Miami Heat,41300405,2014-06-15,MIA @ SAS,L,41,31,10,21,0.47600000000000003,3,9,0.33299999999999996,8,9,0.889,1,9,10,5,0,2,1,1,-3.2
42013,1610612748,MIA,Miami Heat,41300404,2014-06-12,MIA vs. SAS,L,38,28,10,17,0.588,4,8,0.5,4,6,0.667,0,8,8,2,0,0,3,0,-4.2
42013,1610612748,MIA,Miami Heat,41300403,2014-06-10,MIA vs. SAS,L,40,22,9,14,0.643,2,4,0.5,2,3,0.667,1,4,5,7,5,0,7,5,-4.2
42013,1610612748,MIA,Miami Heat,41300402,2014-06-08,MIA @ SAS,W,38,35,14,22,0.636,3,3,1.0,4,5,0.8,2,8,10,3,2,0,4,3,2.2
42013,1610612748,MIA,Miami Heat,41300401,2014-06-05,MIA @ SAS,L,33,25,9,17,0.529,2,3,0.667,5,6,0.833,3,3,6,3,3,0,4,1,0.0
42013,1610612748,MIA,Miami Heat,41300306,2014-05-30,MIA vs. IND,W,32,25,8,12,0.667,0,0,,9,9,1.0,1,3,4,6,1,1,2,1,5.4
42013,1610612748,MIA,Miami Heat,41300305,2014-05-28,MIA @ IND,L,24,7,2,10,0.2,1,3,0.33299999999999996,2,3,0.667,1,1,2,4,0,1,3,5,0.2
42013,1610612748,MIA,Miami Heat,41300304,2014-05-26,MIA vs. IND,W,36,32,13,21,0.619,2,3,0.667,4,4,1.0,0,10,10,5,2,0,2,3,2.0
42013,1610612748,MIA,Miami Heat,41300303,2014-05-24,MIA vs. IND,W,40,26,9,14,0.643,1,2,0.5,7,9,0.778,1,4,5,7,3,0,6,2,4.8
42013,1610612748,MIA,Miami Heat,41300302,2014-05-20,MIA @ IND,W,42,22,9,18,0.5,1,5,0.2,3,6,0.5,0,7,7,6,2,3,3,3,0.8
42013,1610612748,MIA,Miami Heat,41300301,2014-05-18,MIA @ IND,L,41,25,11,18,0.611,1,5,0.2,2,2,1.0,1,9,10,5,3,0,4,3,-2.6
42013,1610612748,MIA,Miami Heat,41300215,2014-05-14,MIA vs. BKN,W,44,29,6,14,0.429,2,5,0.4,15,17,0.882,2,7,9,5,0,1,5,1,0.8
42013,1610612748,MIA,Miami Heat,41300214,2014-05-12,MIA @ BKN,W,43,49,16,24,0.667,3,6,0.5,14,19,0.737,0,6,6,2,3,0,1,5,2.6
42013,1610612748,MIA,Miami Heat,41300213,2014-05-10,MIA @ BKN,L,40,28,8,15,0.5329999999999999,3,7,0.429,9,10,0.9,0,8,8,5,1,1,2,2,-2.8
42013,1610612748,MIA,Miami Heat,41300212,2014-05-08,MIA vs. BKN,W,39,22,9,18,0.5,0,3,0.0,4,6,0.667,0,4,4,3,2,1,2,2,1.2
42013,1610612748,MIA,Miami Heat,41300211,2014-05-06,MIA vs. BKN,W,36,22,10,15,0.667,0,0,,2,2,1.0,1,4,5,3,0,0,1,2,2.0
42013,1610612748,MIA,Miami Heat,41300114,2014-04-28,MIA @ CHA,W,43,31,10,19,0.526,1,5,0.2,10,12,0.833,0,7,7,9,3,1,2,3,2.4
42013,1610612748,MIA,Miami Heat,41300113,2014-04-26,MIA @ CHA,W,36,30,10,18,0.556,1,2,0.5,9,10,0.9,0,10,10,6,2,0,2,1,4.0
42013,1610612748,MIA,Miami Heat,41300112,2014-04-23,MIA vs. CHA,W,40,32,11,17,0.647,1,5,0.2,9,12,0.75,0,6,6,8,4,0,4,2,1.2
42013,1610612748,MIA,Miami Heat,41300111,2014-04-20,MIA vs. CHA,W,39,27,8,16,0.5,4,8,0.5,7,10,0.7,0,9,9,1,0,0,3,1,0.0
22013,1610612748,MIA,Miami Heat,21301192,2014-04-12,MIA @ ATL,L,37,27,10,22,0.455,3,7,0.429,4,8,0.5,3,5,8,5,0,1,3,2,-2.6
22013,1610612748,MIA,Miami Heat,21301180,2014-04-11,MIA vs. IND,W,35,36,11,20,0.55,2,4,0.5,12,13,0.9229999999999999,1,5,6,1,1,1,2,1,2.6
22013,1610612748,MIA,Miami Heat,21301167,2014-04-09,MIA @ MEM,L,41,37,14,23,0.609,3,5,0.6,6,7,0.857,1,5,6,5,2,0,5,1,-1.6
22013,1610612748,MIA,Miami Heat,21301158,2014-04-08,MIA vs. BKN,L,37,29,9,16,0.563,0,3,0.0,11,14,0.7859999999999999,1,9,10,6,2,0,3,0,-0.4
22013,1610612748,MIA,Miami Heat,21301149,2014-04-06,MIA vs. NYK,W,43,38,13,22,0.591,3,7,0.429,9,12,0.75,0,5,5,6,1,0,5,0,0.4
22013,1610612748,MIA,Miami Heat,21301135,2014-04-04,MIA vs. MIN,L,48,34,12,24,0.5,2,4,0.5,8,10,0.8,2,6,8,5,4,1,4,5,1.4
22013,1610612748,MIA,Miami Heat,21301121,2014-04-02,MIA vs. MIL,W,29,17,7,12,0.583,1,3,0.33299999999999996,2,5,0.4,0,4,4,8,1,1,2,0,3.6
22013,1610612748,MIA,Miami Heat,21301105,2014-03-31,MIA vs. TOR,W,39,32,11,20,0.55,1,6,0.16699999999999998,9,11,0.818,0,7,7,8,1,0,6,2,4.4
22013,1610612748,MIA,Miami Heat,21301091,2014-03-29,MIA @ MIL,W,30,13,5,10,0.5,1,3,0.33299999999999996,2,4,0.5,2,5,7,2,0,0,4,1,3.8
22013,1610612748,MIA,Miami Heat,21301079,2014-03-28,MIA @ DET,W,30,17,7,13,0.5379999999999999,1,3,0.33299999999999996,2,2,1.0,2,8,10,12,1,0,1,0,6.4
22013,1610612748,MIA,Miami Heat,21301067,2014-03-26,MIA @ IND,L,43,38,11,19,0.579,2,6,0.33299999999999996,14,15,0.9329999999999999,0,8,8,5,0,0,6,3,0.4
22013,1610612748,MIA,Miami Heat,21301049,2014-03-24,MIA vs. POR,W,38,32,13,23,0.565,0,1,0.0,6,9,0.667,4,2,6,5,4,0,5,2,0.8
22013,1610612748,MIA,Miami Heat,21301036,2014-03-22,MIA @ NOP,L,42,25,10,18,0.556,2,4,0.5,3,3,1.0,1,7,8,9,0,1,3,1,-1.2
22013,1610612748,MIA,Miami Heat,21301027,2014-03-21,MIA vs. MEM,W,38,15,7,14,0.5,0,2,0.0,1,2,0.5,1,5,6,7,2,1,3,0,0.8
22013,1610612748,MIA,Miami Heat,21301003,2014-03-18,MIA @ CLE,W,42,43,14,19,0.737,6,8,0.75,9,13,0.6920000000000001,0,6,6,4,2,3,0,1,2.2
22013,1610612748,MIA,Miami Heat,21300989,2014-03-16,MIA vs. HOU,W,43,24,8,17,0.47100000000000003,1,3,0.33299999999999996,7,8,0.875,0,5,5,6,2,0,5,3,2.2
22013,1610612748,MIA,Miami Heat,21300976,2014-03-14,MIA vs. DEN,L,40,21,8,17,0.47100000000000003,0,4,0.0,5,7,0.7140000000000001,0,6,6,6,1,0,4,3,-1.6
22013,1610612748,MIA,Miami Heat,21300957,2014-03-12,MIA vs. BKN,L,38,19,6,13,0.462,1,4,0.25,6,9,0.667,0,5,5,7,3,0,5,1,0.4
22013,1610612748,MIA,Miami Heat,21300945,2014-03-10,MIA vs. WAS,W,37,23,10,15,0.667,3,4,0.75,0,0,,2,5,7,8,3,0,3,3,3.2
22013,1610612748,MIA,Miami Heat,21300934,2014-03-09,MIA @ CHI,L,45,17,8,23,0.348,1,3,0.33299999999999996,0,0,,1,8,9,8,3,1,4,1,1.2
22013,1610612748,MIA,Miami Heat,21300914,2014-03-06,MIA @ SAS,L,38,19,6,18,0.33299999999999996,0,3,0.0,7,9,0.778,3,5,8,7,2,0,5,5,-2.0
22013,1610612748,MIA,Miami Heat,21300900,2014-03-04,MIA @ HOU,L,37,22,9,18,0.5,0,3,0.0,4,6,0.667,1,0,1,6,3,0,1,1,-3.0
22013,1610612748,MIA,Miami Heat,21300893,2014-03-03,MIA vs. CHA,W,41,61,22,33,0.667,8,10,0.8,9,12,0.75,3,4,7,4,0,0,2,2,3.2
22013,1610612748,MIA,Miami Heat,21300874,2014-03-01,MIA vs. ORL,W,31,20,8,12,0.667,0,2,0.0,4,5,0.8,1,8,9,7,4,0,2,1,2.8
22013,1610612748,MIA,Miami Heat,21300865,2014-02-27,MIA vs. NYK,W,37,31,13,19,0.684,1,2,0.5,4,6,0.667,0,4,4,4,0,0,1,0,4.2
22013,1610612748,MIA,Miami Heat,21300813,2014-02-20,MIA @ OKC,W,33,33,15,22,0.682,1,5,0.2,2,5,0.4,1,6,7,3,4,0,8,1,1.8
22013,1610612748,MIA,Miami Heat,21300798,2014-02-18,MIA @ DAL,W,38,42,16,23,0.696,4,8,0.5,6,8,0.75,2,7,9,6,2,0,3,2,3.8
32013,1610616833,EST,East NBA All Stars East,31300001,2014-02-16,EST @ WST,W,33,22,11,22,0.5,0,7,0.0,0,0,,1,6,7,7,3,0,1,0,1.6
22013,1610612748,MIA,Miami Heat,21300788,2014-02-12,MIA @ GSW,W,42,36,14,26,0.5379999999999999,4,8,0.5,4,7,0.5710000000000001,1,12,13,9,2,0,2,1,-0.4
22013,1610612748,MIA,Miami Heat,21300774,2014-02-11,MIA @ PHX,W,41,37,12,22,0.545,2,5,0.4,11,14,0.7859999999999999,1,8,9,3,5,0,4,2,1.6
22013,1610612748,MIA,Miami Heat,21300755,2014-02-08,MIA @ UTA,L,39,13,4,13,0.308,1,6,0.16699999999999998,4,6,0.667,0,7,7,5,0,0,5,2,0.0
22013,1610612748,MIA,Miami Heat,21300736,2014-02-05,MIA @ LAC,W,41,31,11,20,0.55,3,7,0.429,6,8,0.75,1,7,8,12,3,1,7,2,0.6
22013,1610612748,MIA,Miami Heat,21300713,2014-02-03,MIA vs. DET,W,38,24,9,19,0.474,0,3,0.0,6,8,0.75,1,7,8,11,2,2,1,1,1.2
22013,1610612748,MIA,Miami Heat,21300705,2014-02-01,MIA @ NYK,W,39,30,13,22,0.591,1,3,0.33299999999999996,3,6,0.5,1,7,8,7,6,0,2,3,2.8
22013,1610612748,MIA,Miami Heat,21300675,2014-01-29,MIA vs. OKC,L,42,34,12,20,0.6,1,5,0.2,9,9,1.0,1,2,3,3,0,0,3,1,-3.4
22013,1610612748,MIA,Miami Heat,21300654,2014-01-26,MIA vs. SAS,W,28,18,8,15,0.5329999999999999,1,3,0.33299999999999996,1,1,1.0,0,7,7,6,1,0,4,4,4.2
22013,1610612748,MIA,Miami Heat,21300631,2014-01-23,MIA vs. LAL,W,37,27,9,15,0.6,2,4,0.5,7,13,0.5379999999999999,2,11,13,6,1,0,5,1,0.8
22013,1610612748,MIA,Miami Heat,21300617,2014-01-21,MIA vs. BOS,W,39,29,10,19,0.526,0,4,0.0,9,11,0.818,1,7,8,4,2,0,3,1,2.0
22013,1610612748,MIA,Miami Heat,21300612,2014-01-20,MIA @ ATL,L,39,30,11,21,0.524,3,7,0.429,5,8,0.625,1,3,4,6,1,0,3,1,0.0
22013,1610612748,MIA,Miami Heat,21300593,2014-01-18,MIA @ CHA,W,45,34,13,25,0.52,0,3,0.0,8,10,0.8,2,6,8,6,1,0,2,4,3.0
22013,1610612748,MIA,Miami Heat,21300583,2014-01-17,MIA @ PHI,W,37,21,7,13,0.5379999999999999,0,1,0.0,7,8,0.875,1,7,8,10,2,1,3,3,3.4
22013,1610612748,MIA,Miami Heat,21300568,2014-01-15,MIA @ WAS,L,41,25,8,18,0.444,0,4,0.0,9,10,0.9,2,6,8,7,2,0,4,1,-3.0
22013,1610612748,MIA,Miami Heat,21300537,2014-01-10,MIA @ BKN,L,49,36,12,21,0.5710000000000001,2,5,0.4,10,12,0.833,3,4,7,5,0,0,4,6,-0.2
22013,1610612748,MIA,Miami Heat,21300529,2014-01-09,MIA @ NYK,L,41,32,12,17,0.706,1,4,0.25,7,11,0.636,0,5,5,6,1,1,6,2,0.2
22013,1610612748,MIA,Miami Heat,21300511,2014-01-07,MIA vs. NOP,W,35,32,13,22,0.591,3,6,0.5,3,3,1.0,1,2,3,5,2,0,3,1,3.8
22013,1610612748,MIA,Miami Heat,21300500,2014-01-05,MIA vs. TOR,W,38,30,12,18,0.667,0,0,,6,7,0.857,1,3,4,5,1,0,1,1,0.2
22013,1610612748,MIA,Miami Heat,21300490,2014-01-04,MIA @ ORL,W,36,15,5,13,0.385,0,1,0.0,5,8,0.625,1,7,8,8,1,0,3,1,3.4
22013,1610612748,MIA,Miami Heat,21300474,2014-01-02,MIA vs. GSW,L,40,26,10,16,0.625,1,4,0.25,5,8,0.625,0,5,5,5,0,1,8,0,-2.2
22013,1610612748,MIA,Miami Heat,21300457,2013-12-30,MIA @ DEN,W,40,26,8,15,0.5329999999999999,5,9,0.556,5,8,0.625,1,5,6,10,0,1,4,0,0.8
22013,1610612748,MIA,Miami Heat,21300434,2013-12-27,MIA @ SAC,L,44,33,12,23,0.522,4,9,0.444,5,6,0.833,0,8,8,8,0,0,2,3,-2.0
22013,1610612748,MIA,Miami Heat,21300420,2013-12-25,MIA @ LAL,W,36,19,7,14,0.5,0,4,0.0,5,9,0.556,0,8,8,4,0,0,2,2,0.0
22013,1610612748,MIA,Miami Heat,21300411,2013-12-23,MIA vs. ATL,W,46,38,16,28,0.5710000000000001,4,9,0.444,2,6,0.33299999999999996,4,4,8,6,2,0,0,2,-0.8
22013,1610612748,MIA,Miami Heat,21300387,2013-12-20,MIA vs. SAC,W,31,18,8,11,0.727,1,2,0.5,1,2,0.5,2,4,6,8,1,1,1,1,2.8
22013,1610612748,MIA,Miami Heat,21300369,2013-12-18,MIA vs. IND,W,36,24,8,14,0.5710000000000001,1,3,0.33299999999999996,7,7,1.0,0,9,9,7,3,0,3,3,3.2
22013,1610612748,MIA,Miami Heat,21300360,2013-12-16,MIA vs. UTA,W,34,30,13,17,0.765,0,1,0.0,4,5,0.8,1,8,9,9,1,0,3,1,4.8
22013,1610612748,MIA,Miami Heat,21300344,2013-12-14,MIA vs. CLE,W,41,25,9,12,0.75,0,2,0.0,7,10,0.7,2,7,9,9,4,0,2,2,1.2
22013,1610612748,MIA,Miami Heat,21300311,2013-12-10,MIA @ IND,L,39,17,6,16,0.375,1,4,0.25,4,6,0.667,1,13,14,6,2,0,5,3,-0.4
22013,1610612748,MIA,Miami Heat,21300300,2013-12-08,MIA @ DET,W,35,24,10,15,0.667,0,2,0.0,4,5,0.8,1,6,7,9,2,0,6,2,3.6
22013,1610612748,MIA,Miami Heat,21300294,2013-12-07,MIA @ MIN,W,31,21,9,12,0.75,0,0,,3,5,0.6,4,10,14,8,2,0,7,3,1.8
22013,1610612748,MIA,Miami Heat,21300279,2013-12-05,MIA @ CHI,L,33,21,7,17,0.41200000000000003,1,4,0.25,6,8,0.75,0,5,5,2,3,0,1,2,-4.2
22013,1610612748,MIA,Miami Heat,21300264,2013-12-03,MIA vs. DET,L,37,23,8,15,0.5329999999999999,2,5,0.4,5,8,0.625,3,2,5,6,2,1,6,2,-1.2
